Month,Day,TempHi,TempLow,Solar,Cloud,Rainfall,Power,Capacity 
Apr,1,98°,74°,23.5,7,0,7.78,100
Apr,2,97°,72°,23.8,7,0,7.88,100
Apr,3,100°,75°,23.7,7,0,7.85,100
Apr,4,90°,72°,23.6,7,0,7.81,100
Apr,5,89°,68°,23.3,7,0,7.72,100
Apr,6,90°,67°,23,7,0,7.62,100
Apr,7,92°,66°,22.9,7,0,7.58,100
Apr,8,94°,66°,20.6,6,0,6.82,100
Apr,9,92°,72°,22.9,7,0,7.58,100
Apr,10,93°,71°,22.6,7,0,7.48,100
Apr,11,93°,73°,22.6,7,0,7.48,100
Apr,12,93°,64°,22.6,7,0,7.48,100
Apr,13,95°,64°,22.4,7,0,7.42,100
Apr,14,97°,67°,22.3,7,0,7.38,100
Apr,15,95°,76°,22.2,7,0,7.35,100
Apr,16,95°,70°,22.1,7,0,7.32,100
Apr,17,97°,68°,21.4,7,0,7.09,100
Apr,18,98°,73°,21.5,7,0,7.12,100
Apr,19,94°,69°,21.6,7,0,7.15,100
Apr,20,95°,61°,21.5,7,0,7.12,100
Apr,21,97°,64°,19.7,6,0,6.52,100
Apr,22,98°,74°,19.1,6,0,6.32,100
Apr,23,98°,71°,19.8,6,0,6.56,100
Apr,24,95°,71°,20.8,6,0,6.89,100
Apr,25,94°,70°,20.3,6,0,6.72,100
Apr,26,94°,69°,16,5,0,5.3,100
Apr,27,93°,70°,19.9,6,0,6.59,100
Apr,28,91°,68°,20.1,6,0,6.66,100
Apr,29,92°,68°,19.3,6,0,6.39,100
Apr,30,81°,63°,16.2,5,0,5.36,100